"country","Class"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
"Côte D'Ivoire","High"
